purchase_platform,amount,payment_mode,transaction_date,customer_id
Amazon,13171.69,Wallet Payment,20-02-2025,1803
Ajio,27828.84,Debit Card,25-12-2024,1824
Ajio,47338.96,Wallet Payment,28-10-2024,1828
Myntra,47851.72,Net Banking,02-01-2025,1832
eBay,22090.24,UPI,25-04-2024,1841
Myntra,12599.44,Credit Card,08-12-2024,1854
Amazon,11497.76,Credit Card,25-03-2024,1857
eBay,17820.17,UPI,22-03-2025,1860
Snapdeal,7236.46,Wallet Payment,29-01-2025,1861
Flipkart,6318.56,Credit Card,19-05-2024,1878
Amazon,32414.98,UPI,03-02-2025,1888
Snapdeal,29027.82,Net Banking,14-08-2024,1893
Amazon,4414.53,Debit Card,06-06-2024,1894
Flipkart,30825.38,Debit Card,20-10-2024,1907
Ajio,13811.53,Credit Card,28-09-2024,1916
Myntra,17117.34,UPI,10-07-2024,1924
eBay,33920.52,Credit Card,03-06-2024,1930
Myntra,10760.93,UPI,30-08-2024,1931
Flipkart,40320.69,UPI,19-10-2024,1945
Snapdeal,45676.27,Wallet Payment,12-04-2024,1950
Snapdeal,24352.19,UPI,03-02-2025,1959
Ajio,36519.38,Credit Card,23-12-2024,1962
eBay,40715.4,Debit Card,07-08-2024,1964
eBay,20373.43,Credit Card,26-04-2024,1971
Flipkart,3023.68,UPI,17-04-2024,1977
Flipkart,45757.03,Wallet Payment,25-12-2024,1981
Ajio,37961.74,Net Banking,08-11-2024,1982
eBay,46242.48,Debit Card,15-06-2024,1990
Ajio,45213.8,Wallet Payment,21-06-2024,1996
Ajio,32145.94,Wallet Payment,20-06-2024,1999
Ajio,7379.79,Debit Card,04-03-2025,2013
Snapdeal,5982.45,UPI,31-05-2024,2025
Ajio,15378.14,Debit Card,20-06-2024,2044
Flipkart,28015.95,Debit Card,08-01-2025,2052
Flipkart,45916.98,Credit Card,20-03-2025,2070
eBay,18389.68,UPI,08-09-2024,2083
Snapdeal,6228.75,Wallet Payment,03-08-2024,2097
Myntra,21602.18,UPI,05-02-2025,2099
Snapdeal,26586.5,Wallet Payment,17-05-2024,2106
Amazon,26804.92,Credit Card,23-01-2025,2110
Amazon,20629.55,Credit Card,01-06-2024,2122
Myntra,16412.84,Debit Card,04-12-2024,2124
Amazon,13330.49,Net Banking,18-11-2024,2129
eBay,5711.83,Wallet Payment,25-10-2024,2130
Myntra,46265.2,Debit Card,31-12-2024,2163
eBay,6544.73,Net Banking,17-11-2024,2166
eBay,23958.23,Debit Card,14-01-2025,2180
Myntra,9640.04,Credit Card,10-09-2024,2188
Myntra,41092.48,UPI,25-09-2024,2192
eBay,20055.86,Credit Card,14-09-2024,2193
Snapdeal,20105.79,Net Banking,01-01-2025,2215
Myntra,49704.33,Debit Card,27-07-2024,2225
eBay,21319.8,UPI,28-03-2024,2228
Amazon,7179.28,Wallet Payment,07-01-2025,2229
Flipkart,45880.37,UPI,01-12-2024,2234
Flipkart,8658.37,Wallet Payment,22-06-2024,2235
Amazon,27813.08,Net Banking,20-02-2025,2260
Flipkart,1094.32,Credit Card,06-12-2024,2262
eBay,34964.95,Debit Card,01-08-2024,2269
Flipkart,28383.76,Credit Card,19-12-2024,2279
eBay,37845.19,Credit Card,08-10-2024,2291
Ajio,22341.06,Credit Card,10-09-2024,2292
Snapdeal,9089.38,Credit Card,23-01-2025,2294
eBay,27661.78,Credit Card,22-08-2024,2295
Amazon,38227.97,Net Banking,29-10-2024,2320
Snapdeal,25052.41,Credit Card,30-08-2024,2323
Snapdeal,10390.07,Net Banking,31-12-2024,2324
Myntra,30220.75,Credit Card,04-01-2025,2336
Flipkart,32944.76,Credit Card,05-08-2024,2341
Snapdeal,717.71,Wallet Payment,27-09-2024,2350
Ajio,5598.91,UPI,27-02-2025,2353
Amazon,4801.13,Net Banking,02-06-2024,2354
Snapdeal,5355.05,Wallet Payment,01-02-2025,2376
eBay,46803.19,Debit Card,25-03-2024,2380
Amazon,29578.78,Debit Card,04-02-2025,2388
Amazon,20817.48,Credit Card,27-02-2025,2391
Amazon,45711.94,UPI,17-11-2024,2395
Amazon,41051.26,Debit Card,11-11-2024,2402
Myntra,26599.82,UPI,03-01-2025,2403
Amazon,144.41,Debit Card,05-12-2024,2419
eBay,28853.95,Debit Card,24-08-2024,2430
Snapdeal,33146.05,Wallet Payment,25-01-2025,2435
eBay,36926.39,Credit Card,30-04-2024,2442
Amazon,15306.9,Net Banking,26-11-2024,2463
Amazon,41497.15,Credit Card,05-11-2024,2465
Flipkart,22993.23,Wallet Payment,30-12-2024,2478
Flipkart,45221.2,Credit Card,31-08-2024,2479
Snapdeal,28040.26,Credit Card,28-07-2024,2480
Amazon,48814.68,Net Banking,11-06-2024,2489
Ajio,548.2,Net Banking,17-09-2024,2494
eBay,11491.09,Wallet Payment,07-06-2024,2524
Snapdeal,8013.28,Credit Card,17-03-2025,2525
Myntra,31408.63,Wallet Payment,27-09-2024,2526
Ajio,38277.1,Credit Card,08-04-2024,2529
eBay,16910.31,Net Banking,01-03-2025,2530
Snapdeal,20535.67,UPI,18-04-2024,2535
Snapdeal,35461.64,Credit Card,30-08-2024,2557
Flipkart,38920.5,UPI,16-07-2024,2571
Ajio,19632.71,Credit Card,26-12-2024,2578
Amazon,22383.55,Debit Card,12-10-2024,2582
Amazon,34943.14,Wallet Payment,06-07-2024,2584
Snapdeal,4649.62,Debit Card,18-05-2024,2604
Flipkart,8112.85,Debit Card,19-12-2024,2609
eBay,11454.66,Debit Card,03-11-2024,2612
Myntra,41985.57,Debit Card,15-09-2024,2625
eBay,39853.68,Net Banking,06-01-2025,2633
Amazon,18589.64,UPI,02-03-2025,2638
Ajio,21144.55,Net Banking,21-03-2025,2641
Ajio,34364.63,Credit Card,01-01-2025,2646
Snapdeal,33404.8,Net Banking,03-01-2025,2647
Amazon,12835.32,Credit Card,03-02-2025,2657
Myntra,12893.77,Wallet Payment,21-08-2024,2659
Ajio,21798.04,Wallet Payment,20-01-2025,2678
Flipkart,36854.46,Debit Card,11-08-2024,2680
Snapdeal,13537.01,Wallet Payment,08-03-2025,2681
eBay,45467.16,Credit Card,17-11-2024,2684
Snapdeal,8227.76,UPI,06-05-2024,2697
Myntra,13079.58,UPI,10-08-2024,2698
Flipkart,35404.01,Debit Card,01-04-2024,2712
Ajio,25585.32,Net Banking,21-12-2024,2713
Flipkart,287.83,Net Banking,28-02-2025,2743
Amazon,7550.43,Debit Card,21-05-2024,2746
Myntra,12450.58,Debit Card,25-01-2025,2753
Myntra,38487.12,UPI,29-09-2024,2758
eBay,45482.34,Debit Card,01-07-2024,2768
Myntra,41562.36,Credit Card,07-05-2024,2771
Ajio,31985.89,UPI,07-11-2024,2785
eBay,33181.47,Wallet Payment,23-10-2024,2790
Flipkart,28290.27,Credit Card,14-01-2025,2796
Amazon,42293.07,Credit Card,29-11-2024,2800
Amazon,34402.63,UPI,14-01-2025,2824
Ajio,14235.47,Wallet Payment,11-09-2024,2827
eBay,23948.61,Debit Card,11-10-2024,2848
Ajio,16817.03,Wallet Payment,18-01-2025,2858
Myntra,17544.8,Debit Card,01-02-2025,2864
Snapdeal,16655.87,Credit Card,22-09-2024,2871
Snapdeal,21471.23,Wallet Payment,01-06-2024,2874
Ajio,13675.15,UPI,13-02-2025,2876
Ajio,31516.69,Debit Card,05-06-2024,2885
Snapdeal,26758.38,Credit Card,12-04-2024,2889
Amazon,28704.11,UPI,11-08-2024,2899
Myntra,32564.66,Credit Card,01-12-2024,2900
Snapdeal,17794,Credit Card,24-05-2024,2901
Flipkart,38476.99,UPI,22-09-2024,2904
Snapdeal,16644.03,Wallet Payment,03-04-2024,2911
eBay,43046.12,Wallet Payment,23-01-2025,2923
Ajio,26177.14,Net Banking,11-02-2025,2928
eBay,9055.73,Net Banking,25-03-2025,2929
Amazon,42131.07,Debit Card,07-12-2024,2934
eBay,20345.04,Net Banking,07-12-2024,2944
Amazon,27736.46,Wallet Payment,24-10-2024,2946
Flipkart,29181.7,Credit Card,29-04-2024,2956
Ajio,35764.69,Wallet Payment,20-08-2024,2958
Flipkart,13752.24,Net Banking,29-03-2024,2964
Myntra,25365.04,Credit Card,16-09-2024,2983
Myntra,39928.11,Net Banking,02-01-2025,2988
Ajio,36445.36,UPI,11-11-2024,3002
Snapdeal,39580.08,Wallet Payment,03-03-2025,3017
Ajio,36664.98,UPI,04-09-2024,3024
Ajio,13722.77,Debit Card,23-08-2024,3029
Ajio,23108.55,Credit Card,13-04-2024,3091
Myntra,5077.74,Debit Card,17-09-2024,3093
Flipkart,24719.23,Net Banking,31-07-2024,3102
Myntra,9289.51,Net Banking,14-01-2025,3112
Amazon,7955.84,Wallet Payment,11-04-2024,3126
Ajio,35257.73,Wallet Payment,01-07-2024,3137
Amazon,34818.55,Debit Card,10-05-2024,3139
Flipkart,11641.57,Wallet Payment,11-02-2025,3140
Amazon,40892.07,UPI,04-01-2025,3141
eBay,21224.89,UPI,23-05-2024,3142
Amazon,8235.89,UPI,30-07-2024,3147
Amazon,24993.31,Wallet Payment,18-01-2025,3153
eBay,43241.81,UPI,01-05-2024,3165
Snapdeal,43549.63,Debit Card,03-04-2024,3170
Snapdeal,40538.27,Debit Card,23-05-2024,3171
Myntra,42392.57,Wallet Payment,02-06-2024,3174
Snapdeal,6136.22,Credit Card,07-08-2024,3181
eBay,38847.34,Net Banking,30-10-2024,3185
eBay,13003.32,Credit Card,22-09-2024,3209
Ajio,30924.83,Wallet Payment,06-12-2024,3221
Ajio,38300.47,Net Banking,30-06-2024,3222
Amazon,10204.37,UPI,23-09-2024,3230
Snapdeal,11172.35,Net Banking,25-10-2024,3235
Myntra,11078.86,Debit Card,21-08-2024,3240
Snapdeal,47171.8,Wallet Payment,21-11-2024,3246
Ajio,33188.19,Credit Card,29-01-2025,3253
Myntra,41217.68,UPI,15-09-2024,3262
eBay,31464.34,Net Banking,05-01-2025,3286
Flipkart,7186.29,Net Banking,07-07-2024,3290
Ajio,14589.88,UPI,08-06-2024,3292
Ajio,25488.85,UPI,17-10-2024,3296
Ajio,31124.79,Credit Card,06-10-2024,3304
Flipkart,30569.46,Net Banking,21-12-2024,3308
Snapdeal,28639.89,Net Banking,26-06-2024,3320
Flipkart,27185.3,Wallet Payment,05-07-2024,3347
eBay,23645.94,Wallet Payment,05-10-2024,3352
Ajio,48144.11,Credit Card,21-10-2024,3361
Snapdeal,34400.22,Debit Card,08-09-2024,3362
Myntra,18529.88,Debit Card,25-01-2025,3365
Snapdeal,33528.78,Net Banking,11-08-2024,3370
Snapdeal,39231.71,Debit Card,10-03-2025,3390
Flipkart,36389.18,Net Banking,15-09-2024,3399
Ajio,20112.19,UPI,16-07-2024,3415
Snapdeal,40203.68,Debit Card,25-09-2024,3417
Myntra,21722.48,Wallet Payment,25-03-2025,3419
Myntra,1428.83,Debit Card,25-12-2024,3426
Snapdeal,26349.38,UPI,28-06-2024,3441
Flipkart,3753.39,UPI,07-07-2024,3442
Ajio,33478.45,Debit Card,23-08-2024,3455
Snapdeal,11344.25,Debit Card,11-11-2024,3458
Snapdeal,10012.56,Wallet Payment,15-11-2024,3463
Flipkart,33286.63,Credit Card,15-07-2024,3470
Snapdeal,43112.59,UPI,05-01-2025,3480
Snapdeal,11042.48,Credit Card,08-06-2024,3481
Flipkart,37788.64,Wallet Payment,14-03-2025,3492
Snapdeal,7991.74,Wallet Payment,14-07-2024,3496
Myntra,8960.16,Net Banking,18-07-2024,3513
Snapdeal,26272.85,Debit Card,23-08-2024,3522
eBay,23633.57,Credit Card,14-12-2024,3526
Myntra,12706.25,Wallet Payment,14-09-2024,3535
Ajio,19599.91,Debit Card,18-04-2024,3541
Amazon,28755.97,Credit Card,26-11-2024,3587
Ajio,22793.36,Debit Card,12-07-2024,3589
Myntra,46121.65,Debit Card,08-08-2024,3604
Flipkart,43800.89,Net Banking,08-12-2024,3607
Amazon,46866.85,Net Banking,13-09-2024,3610
Flipkart,14398.6,Net Banking,21-12-2024,3611
Amazon,23701.47,Wallet Payment,08-01-2025,3621
Myntra,2489.01,UPI,08-07-2024,3623
Myntra,20110.52,Net Banking,07-01-2025,3646
Flipkart,6947.58,UPI,11-07-2024,3662
Myntra,40545.15,Debit Card,19-04-2024,3692
Ajio,38686.05,Debit Card,08-06-2024,3695
eBay,575.43,Debit Card,25-08-2024,3697
Snapdeal,13954.82,Credit Card,05-08-2024,3703
Myntra,9722.01,Debit Card,22-07-2024,3705
Myntra,12373.95,Wallet Payment,18-01-2025,3711
eBay,16823.35,Credit Card,03-04-2024,3712
eBay,34483.57,Credit Card,23-05-2024,3719
Amazon,36598.12,Credit Card,01-11-2024,3725
Snapdeal,20954.67,Credit Card,19-02-2025,3736
Myntra,39157.51,Wallet Payment,02-01-2025,3738
Ajio,5894.7,Net Banking,21-10-2024,3740
Ajio,49422.37,Net Banking,16-05-2024,3749
Flipkart,48769.37,UPI,31-01-2025,3752
eBay,24696.56,Debit Card,21-06-2024,3754
eBay,22528.35,UPI,09-03-2025,3755
eBay,25245.23,Debit Card,10-07-2024,3762
Amazon,12253.09,Debit Card,20-01-2025,3773
Amazon,25748.85,UPI,09-01-2025,3777
Ajio,49691.18,Wallet Payment,04-03-2025,3780
eBay,39484.49,UPI,24-04-2024,3793
Snapdeal,6917.01,Debit Card,22-02-2025,3803
Snapdeal,26829.79,UPI,05-03-2025,3815
Snapdeal,20779.79,Debit Card,15-08-2024,3826
eBay,31509.39,Credit Card,21-06-2024,3827
Amazon,29233.14,UPI,29-06-2024,3831
Myntra,42545.28,Credit Card,15-05-2024,3838
Flipkart,4898.63,Credit Card,10-01-2025,3842
Snapdeal,4746.25,Credit Card,15-02-2025,3848
Amazon,42588.2,Credit Card,07-06-2024,3851
Ajio,39590.85,Net Banking,09-09-2024,3852
Amazon,48533.03,Credit Card,11-09-2024,3858
Flipkart,45283.58,Credit Card,01-09-2024,3868
Snapdeal,10449.87,Credit Card,19-11-2024,3869
Flipkart,41208.11,Wallet Payment,04-12-2024,3877
Amazon,44494.04,Debit Card,01-01-2025,3880
Amazon,26854.1,UPI,25-05-2024,3885
eBay,10529.63,Debit Card,05-11-2024,3900
Ajio,40115.65,Net Banking,08-11-2024,3911
eBay,5839.23,Credit Card,25-04-2024,3924
Myntra,33791.25,Wallet Payment,06-01-2025,3938
Myntra,28988.77,Net Banking,28-03-2024,3956
Myntra,33589.8,UPI,30-03-2024,3967
Flipkart,3847.41,Wallet Payment,06-01-2025,3981
eBay,36018.74,Credit Card,27-03-2024,3999
Snapdeal,36663.13,Credit Card,07-01-2025,4033
Amazon,45869.29,Debit Card,03-03-2025,4063
Myntra,45745.84,UPI,08-03-2025,4065
Ajio,42118.07,Net Banking,19-06-2024,4084
Myntra,13623.06,Wallet Payment,24-10-2024,4111
Myntra,37149.5,Debit Card,14-02-2025,4113
Snapdeal,37138.8,Credit Card,10-11-2024,4119
Amazon,35801.47,Wallet Payment,01-01-2025,4131
Flipkart,21990.92,UPI,08-10-2024,4164
Flipkart,32996.8,Wallet Payment,17-06-2024,4180
Amazon,43313.7,Wallet Payment,08-09-2024,4185
Amazon,1479.21,Credit Card,15-02-2025,4189
eBay,14890.72,Debit Card,04-05-2024,4201
Amazon,17389.18,Credit Card,23-10-2024,4203
Flipkart,44806.89,Net Banking,01-01-2025,4228
eBay,14528.22,UPI,08-05-2024,4232
Myntra,15082.57,Credit Card,24-12-2024,4241
Myntra,46526.78,Net Banking,22-10-2024,4254
Ajio,23277.77,Net Banking,28-07-2024,4257
eBay,28920.57,Net Banking,01-05-2024,4261
Flipkart,26618.55,Debit Card,31-10-2024,4269
Snapdeal,18042.48,Credit Card,15-04-2024,4271
Amazon,12412.48,Debit Card,17-06-2024,4288
Amazon,12921.61,Debit Card,23-03-2025,4290
Myntra,40397.09,Net Banking,19-09-2024,4292
Myntra,11454.25,Credit Card,13-04-2024,4295
Amazon,16622.75,Credit Card,07-12-2024,4308
Myntra,22854.96,Wallet Payment,09-03-2025,4314
Flipkart,1154.03,Credit Card,24-05-2024,4329
Ajio,12786.37,Debit Card,27-01-2025,4350
Flipkart,33457.58,Debit Card,24-11-2024,4361
Myntra,8984.83,Net Banking,27-05-2024,4362
Amazon,1637.76,Credit Card,15-10-2024,4387
eBay,48958.78,Net Banking,18-09-2024,4390
Ajio,9816.25,UPI,14-05-2024,4401
Myntra,41649.4,Credit Card,14-02-2025,4402
Snapdeal,3030.69,UPI,12-05-2024,4450
Myntra,44265.5,Net Banking,27-11-2024,4460
Snapdeal,30434.68,UPI,02-04-2024,4463
Amazon,40020.97,Net Banking,08-07-2024,4470
Amazon,11778.13,Wallet Payment,08-12-2024,4475
eBay,49150.55,Credit Card,29-10-2024,4511
Amazon,11604.24,Credit Card,25-03-2025,4515
Ajio,27804.09,Debit Card,04-11-2024,4519
Amazon,47286.77,UPI,18-03-2025,4522
Snapdeal,34091.13,Net Banking,08-07-2024,4538
Ajio,4441.35,Debit Card,05-09-2024,4555
eBay,44553.23,Net Banking,23-06-2024,4559
Ajio,15951.7,Debit Card,05-03-2025,4568
Myntra,2854.85,Wallet Payment,03-11-2024,4570
eBay,16179.16,Debit Card,25-04-2024,4571
eBay,16980.84,Wallet Payment,12-06-2024,4588
Myntra,33451.08,Net Banking,30-06-2024,4594
Amazon,40597.79,Wallet Payment,15-03-2025,4598
Myntra,8645.86,Debit Card,11-04-2024,4611
Amazon,6490.52,Credit Card,31-01-2025,4613
eBay,44337.12,Debit Card,19-12-2024,4619
Myntra,579.03,Credit Card,28-08-2024,4621
Flipkart,49342.36,Credit Card,28-05-2024,4637
Flipkart,3648.24,Wallet Payment,30-01-2025,4641
Snapdeal,48188.16,Debit Card,13-11-2024,4648
Amazon,49134.96,Net Banking,07-06-2024,4656
Snapdeal,33937.46,Debit Card,19-06-2024,4669
eBay,39148.46,Wallet Payment,28-09-2024,4695
eBay,11567.84,Credit Card,15-11-2024,4705
Amazon,40074.72,UPI,29-09-2024,4728
Flipkart,35240.2,Credit Card,01-02-2025,4733
Ajio,28066.87,Credit Card,25-12-2024,4770
Amazon,35236.22,UPI,31-10-2024,4788
eBay,7924.51,Wallet Payment,27-09-2024,4791
Amazon,29953.5,Wallet Payment,30-03-2024,4798
Flipkart,5371.65,Credit Card,09-05-2024,4813
Amazon,9589.08,UPI,08-10-2024,4814
Snapdeal,9557.76,UPI,19-04-2024,4817
Ajio,13454.73,Debit Card,12-09-2024,4824
Ajio,44007.23,Debit Card,02-03-2025,4836
Flipkart,28893.4,UPI,07-07-2024,4839
eBay,23271.31,Net Banking,02-09-2024,4846
eBay,24449.73,Net Banking,30-09-2024,4860
Flipkart,42608.08,Debit Card,01-10-2024,4862
Snapdeal,42264.82,Debit Card,08-07-2024,4872
eBay,21676.19,Wallet Payment,08-09-2024,4878
Myntra,25214.02,Debit Card,25-01-2025,4891
Myntra,31329.76,UPI,17-04-2024,4892
Snapdeal,48217.34,Credit Card,02-03-2025,4909
Snapdeal,40464.08,Wallet Payment,19-08-2024,4912
Flipkart,27295.01,Net Banking,06-02-2025,4920
eBay,34989.97,Debit Card,16-08-2024,4921
Flipkart,36517.38,Wallet Payment,07-12-2024,4923
Ajio,44163.96,Debit Card,18-05-2024,4937
Flipkart,1052.38,UPI,17-11-2024,4941
Flipkart,40417.41,UPI,07-07-2024,4945
Flipkart,41758.81,UPI,02-09-2024,4951
Amazon,5271.09,Credit Card,17-03-2025,4965
eBay,21686.25,Debit Card,23-04-2024,4971
Amazon,6035.03,Wallet Payment,01-07-2024,4972
Myntra,35890.34,Credit Card,21-05-2024,4974
Myntra,28806.44,UPI,05-05-2024,4977
eBay,44802.39,Debit Card,26-09-2024,4978
eBay,27282.02,UPI,12-01-2025,4984
Snapdeal,18925.61,UPI,11-12-2024,4993
Myntra,21416.56,Wallet Payment,09-03-2025,4997
Ajio,36591.39,Net Banking,09-09-2024,5002
eBay,4282.37,Net Banking,28-12-2024,5016
Myntra,20544.44,Wallet Payment,01-11-2024,5026
eBay,43466.38,Wallet Payment,23-06-2024,5037
Myntra,38464.14,Wallet Payment,19-08-2024,5040
eBay,22753.85,Credit Card,11-02-2025,5050
eBay,7159.07,Credit Card,13-05-2024,5054
eBay,21774.15,Net Banking,08-04-2024,5055
Ajio,6680.13,UPI,06-05-2024,5061
Ajio,45178.34,Debit Card,10-07-2024,5065
Amazon,10779.77,Wallet Payment,02-05-2024,5067
Ajio,34136.29,Debit Card,09-03-2025,5076
Ajio,5368.94,UPI,09-04-2024,5082
Myntra,19313.45,Wallet Payment,13-09-2024,5093
Myntra,30704.78,Debit Card,10-03-2025,5118
Snapdeal,45893.46,Debit Card,29-12-2024,5128
Snapdeal,31756.32,Wallet Payment,25-04-2024,5136
Ajio,14956.66,Credit Card,23-07-2024,5179
Flipkart,29614.47,Debit Card,22-06-2024,5186
Ajio,3755.67,Credit Card,21-02-2025,5190
Myntra,44259.77,Wallet Payment,14-06-2024,5192
eBay,20967.87,Net Banking,16-12-2024,5225
Snapdeal,38100.62,Credit Card,03-06-2024,5237
Snapdeal,2934.17,Credit Card,25-03-2025,5262
Snapdeal,4943.47,UPI,30-11-2024,5269
Myntra,41275.83,UPI,11-07-2024,5279
Amazon,47695.03,UPI,04-04-2024,5291
Snapdeal,35563.77,Credit Card,27-02-2025,5295
Ajio,37415.53,Net Banking,18-10-2024,5298
Flipkart,4616.02,Credit Card,19-06-2024,5305
eBay,13726.51,UPI,10-06-2024,5315
Myntra,40816.01,UPI,19-04-2024,5325
Myntra,47837.43,Credit Card,22-09-2024,5327
Amazon,4878.04,UPI,09-11-2024,5331
Ajio,31580.21,Debit Card,15-04-2024,5335
eBay,37984.36,Credit Card,11-06-2024,5336
Myntra,5939.68,Debit Card,05-04-2024,5341
Flipkart,41746.3,UPI,23-05-2024,5374
eBay,35807.41,Credit Card,30-03-2024,5375
eBay,11707.76,Net Banking,22-01-2025,5381
eBay,1364.67,Credit Card,26-03-2024,5389
Ajio,23211.11,Credit Card,26-08-2024,5395
eBay,45685.03,Net Banking,19-12-2024,5397
Flipkart,3484,UPI,21-03-2025,5399
Flipkart,40105.13,Wallet Payment,25-07-2024,5400
eBay,18497.81,UPI,02-12-2024,5450
Flipkart,7744.11,UPI,20-08-2024,5453
eBay,8422,Credit Card,15-05-2024,5470
eBay,22759.03,Debit Card,15-02-2025,5478
Flipkart,45757.41,UPI,05-04-2024,5479
Amazon,13206.52,Debit Card,30-01-2025,5480
Ajio,38511.3,Debit Card,14-12-2024,5496
Amazon,30562.21,Debit Card,04-04-2024,5500
Snapdeal,10510.57,Debit Card,03-12-2024,5505
eBay,14562.81,Credit Card,24-12-2024,5511
Myntra,32114.42,Debit Card,13-01-2025,5526
Amazon,3132.03,Net Banking,20-12-2024,5529
Flipkart,49005.54,Credit Card,21-07-2024,5546
Amazon,47545.06,Debit Card,01-04-2024,5564
eBay,19889.69,Net Banking,06-04-2024,5571
Ajio,45351.87,Net Banking,27-08-2024,5573
Ajio,38852.73,Net Banking,23-09-2024,5585
Amazon,45735.34,Credit Card,12-03-2025,5593
eBay,20586.73,Net Banking,12-06-2024,5605
Amazon,21463.61,Net Banking,15-05-2024,5632
Amazon,653.47,Debit Card,20-06-2024,5634
eBay,44831.43,Net Banking,04-08-2024,5637
Snapdeal,21225.25,Credit Card,26-12-2024,5668
Ajio,6816.39,Wallet Payment,25-08-2024,5670
